r_m,r_cm,A_Wb_per_m,Btheta_T,region_id,weight
0.000000000000000000e+00,0.000000000000000000e+00,8.016258625808380658e-04,2.094395102226337402e-06,1.000000000000000000e+00,5.000000000000000000e+00
5.000000000000000104e-04,5.000000000000000278e-02,8.016248153832869526e-04,3.490658503999682916e-06,1.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000021e-03,1.000000000000000056e-01,8.016223719223340661e-04,6.422811647441815930e-06,1.000000000000000000e+00,2.000000000000000000e+00
1.500000000000000031e-03,1.499999999999999944e-01,8.016183925716395108e-04,9.514537750656033854e-06,1.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000042e-03,2.000000000000000111e-01,8.016128573845834101e-04,1.263285934725594944e-05,1.000000000000000000e+00,2.000000000000000000e+00
3.000000000000000062e-03,2.999999999999999889e-01,8.015970965325505378e-04,1.889349428004036963e-05,1.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000083e-03,4.000000000000000222e-01,8.015750677922692030e-04,2.516559448448220059e-05,1.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000104e-03,5.000000000000000000e-01,8.015467642795081563e-04,3.144217208827813155e-05,1.000000000000000000e+00,2.000000000000000000e+00
6.000000000000000125e-03,5.999999999999999778e-01,8.015121829110994538e-04,3.772096640001096427e-05,1.000000000000000000e+00,2.000000000000000000e+00
7.000000000000000146e-03,7.000000000000000666e-01,8.014713220383544228e-04,4.400102098845764311e-05,1.000000000000000000e+00,2.000000000000000000e+00
8.000000000000000167e-03,8.000000000000000444e-01,8.014241806758440941e-04,5.028186091386890297e-05,1.000000000000000000e+00,2.000000000000000000e+00
9.000000000000001055e-03,9.000000000000001332e-01,8.013707581874358280e-04,5.656322340597077944e-05,1.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000021e-02,1.000000000000000000e+00,8.013110541385539635e-04,6.284495122736705316e-05,1.000000000000000000e+00,2.000000000000000000e+00
1.099999999999999936e-02,1.099999999999999867e+00,8.012450682191198234e-04,6.912694450113716091e-05,1.000000000000000000e+00,2.000000000000000000e+00
1.200000000000000025e-02,1.199999999999999956e+00,8.011728002001232375e-04,7.540913673055933848e-05,1.000000000000000000e+00,2.000000000000000000e+00
1.300000000000000114e-02,1.300000000000000044e+00,8.010942499076174114e-04,8.169148192594632128e-05,1.000000000000000000e+00,2.000000000000000000e+00
1.400000000000000029e-02,1.400000000000000133e+00,8.010094172063702417e-04,8.797394726123365150e-05,1.000000000000000000e+00,2.000000000000000000e+00
1.499999999999999944e-02,1.500000000000000000e+00,8.009183019891667104e-04,9.425650867862623932e-05,1.000000000000000000e+00,2.000000000000000000e+00
1.600000000000000033e-02,1.600000000000000089e+00,8.008209041695665224e-04,1.005391481433960769e-04,1.000000000000000000e+00,2.000000000000000000e+00
1.700000000000000122e-02,1.700000000000000178e+00,8.007172236768619151e-04,1.068218518692625347e-04,1.000000000000000000e+00,2.000000000000000000e+00
1.800000000000000211e-02,1.800000000000000266e+00,8.006072604524773484e-04,1.131046091369357907e-04,1.000000000000000000e+00,2.000000000000000000e+00
1.899999999999999953e-02,1.899999999999999911e+00,8.004910144473438918e-04,1.193874114860598397e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000042e-02,2.000000000000000000e+00,8.003684856199465769e-04,1.256702521501301293e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.100000000000000130e-02,2.100000000000000089e+00,8.002396739348496650e-04,1.319531256519737182e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.199999999999999872e-02,2.199999999999999734e+00,8.001045793615647406e-04,1.382360275118845307e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.299999999999999961e-02,2.299999999999999822e+00,7.999632018736713146e-04,1.445189540282865203e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.400000000000000050e-02,2.399999999999999911e+00,7.998155414481228267e-04,1.508019021177101451e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.500000000000000139e-02,2.500000000000000000e+00,7.996615980646961958e-04,1.570848691904296079e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.600000000000000228e-02,2.600000000000000089e+00,7.995013717055488153e-04,1.633678530557065682e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.699999999999999969e-02,2.700000000000000178e+00,7.993348623548578386e-04,1.696508518464347301e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.800000000000000058e-02,2.800000000000000266e+00,7.991620699985276617e-04,1.759338639629839701e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.900000000000000147e-02,2.900000000000000355e+00,7.989829946239477123e-04,1.822168880264653690e-04,1.000000000000000000e+00,2.000000000000000000e+00
2.999999999999999889e-02,3.000000000000000000e+00,7.987976362197894871e-04,1.884999228415466820e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.099999999999999978e-02,3.100000000000000089e+00,7.986059947758390428e-04,1.947829673676087126e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.200000000000000067e-02,3.200000000000000178e+00,7.984080702828557242e-04,2.010660206944656612e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.300000000000000155e-02,3.300000000000000266e+00,7.982038627324516012e-04,2.073490820214336273e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.400000000000000244e-02,3.400000000000000355e+00,7.979933721169904211e-04,2.136321506426969695e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.500000000000000333e-02,3.500000000000000444e+00,7.977765984295002218e-04,2.199152259326710341e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.600000000000000422e-02,3.600000000000000533e+00,7.975535416635977631e-04,2.261983073357037529e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.699999999999999817e-02,3.699999999999999734e+00,7.973242018134249921e-04,2.324813943562016507e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.799999999999999906e-02,3.799999999999999822e+00,7.970885788735925567e-04,2.387644865507307281e-04,1.000000000000000000e+00,2.000000000000000000e+00
3.899999999999999994e-02,3.899999999999999911e+00,7.968466728391305825e-04,2.450475835207366945e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000083e-02,4.000000000000000000e+00,7.965984837054471482e-04,2.513306849082159924e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.100000000000000172e-02,4.100000000000000533e+00,7.963440114682913138e-04,2.576137903892090127e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.200000000000000261e-02,4.200000000000000178e+00,7.960832561237186434e-04,2.638968996723906318e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.300000000000000350e-02,4.300000000000000711e+00,7.958162176680629073e-04,2.701800124916976364e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.399999999999999745e-02,4.399999999999999467e+00,7.955428960979119045e-04,2.764631286053548394e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.499999999999999833e-02,4.500000000000000000e+00,7.952632914100831764e-04,2.827462477956486984e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.599999999999999922e-02,4.599999999999999645e+00,7.949774036016024311e-04,2.890293698609234098e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.700000000000000011e-02,4.700000000000000178e+00,7.946852326696884732e-04,2.953124946177300143e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.800000000000000100e-02,4.799999999999999822e+00,7.943867786117363985e-04,3.015956218972582338e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.850000000000000144e-02,4.850000000000000533e+00,7.942351954097263923e-04,3.047371864341996413e-04,1.000000000000000000e+00,2.000000000000000000e+00
4.900000000000000189e-02,4.900000000000000355e+00,7.940820414253021986e-04,3.078787515453345193e-04,1.000000000000000000e+00,2.000000000000000000e+00
